Username,Comment
@จายา,"Kisi ne reel me comment kiya tha ""Lawrence Bisnoi first song"" 😂🥲 wahi dekhne aai thi"
@soumyaranjanbehera336,2:40❤
@ritikchaudhary6364,This shit is bangerrr broo😂😂 😂 hardd mannn
@Navisatankar12,2:49 she is looking ❤
@abhieditz.x,listening this in FEB 2025❤❤👽👽😉😉
@choudharysunita5992,2025🎉
@itzpiyush408,It's almost end of February 2025 but still vibing on this masterpiece ❤️‍🩹🫂
@NikkiJha-i6b,😘😘😘😘😘😘😘😘🧿
@Rajbhai641G,2025 gyus 🎉 abhi bhi wohi vibe 😊❤❤
@duckkd,"That one line🗿
Rest of the song 🤡"
@badrigurjar6742,Anyone in2k25😅
@AffectionateClam-ps8wg,In 2025😂 anyone?
@raviravisahu4571,Legend still listening in February 2025
@ANILSHARMA-q1e2t,Kya dhamakedar aawaz.... Waah
@shubhamtomar7690,1:14 😂❤
@24vivekkumar,V.K.RELIANCE.V.K.
@rockyramkeshmeena8647,Good song ❤❤
@PankajNayak-w7g,Pooja 😂😂😂😂😂
@princegill8325,2025❤
@SameerAnsari-k5v,Anyone 2025🎉
@LitanSarkar-jl2kf,Fvrt song❤
@MANDEEPSINGH-sy6fi,Anyone listening March 2025
@piyushmishra1826,❤
@RaviShankar-cn6et,2025 ❤❤❤
@NOYOGAMING44,It's 2025 ❤❤
@SubhashSingh-hw5kg,Thanks!
@depan2192,2025 still ❤... 😁🙌🏻
@sateeshkumar8752,2025😂😂😂😂
@ASIDKHAN99,❤sire da patola aa pooja di choti paen pai❤
@Ashu_fitnessuk07,28/jan/2025 bas ek line ne full song sune ko majbur kar diya
@adzone3084,2025 ❤
@maniish.999,Jan. 2025 still chillin'
@RohitSharma-uy3bz,Love this done
@guruyadav8317,Any one 2025❤❤❤❤❤
@chauhandp28,Now its January 2025
@TauheedQureshi-e9x,January 2025 me kon kon yeah song sun rha hai
@Surendra333_f3r,❤❤❤❤😊😊😊😊Puja ki coti bhn mra love
@Apratap_singh72,Master piece song 👌👌👌👌
@gloriouschhawri5011,❤❤2025❤❤❤
@shivrajshortsofficial,Maine ye gana 10 saal phle suna tha❤..... Yaar purane din taaja ho gaye ❤❤...... Nostalgia❤ 😊
@rahulkumawat7970,Best song in world 🎉❤😊
@indu7506,After 11 year.... 2025 ❤
@JitendraKumar-pk1jh,2025
@Batman-u2l4g,Bullshit like bull😂
@Ahailkibaatein,Anyone in 2025
@Lksaini1-p8z,Who is listening in jan 2025❤❤
@ashishmohanrawat1418,Insta reel k baad aaoge aao aao aao
@sunnyshukla8605,Its jan 2025 .hit like who come for this masterpiece ❤❤❤😂
@sunnyshukla8605,Its jan 2025 .hit like who come for this masterpiece ❤❤❤😂
@AnwitaS-es3vg,2025 wale aa jao 😂😂❤
@kamleshkumari9242,Love from Ludhiana 🌹💪💪💪
@kamleshkumari9242,Music ne tan aggg he lei pai aa🎉🎉
@vibhorsaini3361,It's almost mid of January 2025 but still vibing on this masterpiece 🎉❤
@VikashSingh-g2j,2025 vale 😊like❤
@vaibhav-x2q,videography of this song is heart touching
@TarakhMer,My favourite song
@Madhur3333,Kon kon 2025 mein son raha hai❤
@shivamrawat9230,3rd Jan 2025 🗿
@ravihire6746,❤❤❤❤❤❤❤
@M7IRA,Din bhar sunti hun ❤️😍
@banna11xi,Anyone 1st january 2025 ❤🎉
@AnimeNarutoShow07,❤❤❤❤❤😊😊
@ronygeming9883,me
@ajayawari7070,Actress name 😢
@SarthakSharma-m4u,Makes me think of Singha 😂
@Aradhyagoswami-ys3lx,2024 december me kon kon sun rha hi😉😊✨✨like karo''''''''''''''''''
@Bhavish_rk,no1 song
@yuvrajraj4038,"Ye 11 saal old song h..

Mai to pehli baar is song ko sun rha hu..

Such a master piece song"
@PiyushJSR,"*JINNI JACHDI AE JEAN*
*UNNI JACHDI HAI SUIT❤*"
@sheisthatwoman,2024 dec 🔥
@ChikuPuhal-k9j,Knt song😂😂❤❤❤❤❤❤❤❤❤❤🤟🤟🤟🤟🤟🤟
@maxbroadbandcabletv1509,Dec 2024
@Animeshpandeyap,"To all the Punjabi folk listeners ,cheers 🥂 on December 2024"
@santoshgarhi2910,I'm listing November 2024❤
@Harsh-hc1jz,2025 ❤ Like here
@vipyaar,Baljeet anna e lgda 😅😅😅😅😅😅😅
@RubyDevi-z4s8t,Lal jarurjyoti yr hi tabi na pnkj jyoti liry juthe ran jyoti pnkj dono jyoti yr Lal tabi na liry juthe bol mud krib ky pnkj jyoti
@meetparmar8151,12-11-2024 kon he yahan Aaj dekhne wala 😅😊
@AnkitKumar-p7o2i,I love this song
@crazyzone6842,Who's listen today 😂
@JEELFR,Pooja Crying In Corner 🤡
@rahulbiswas9474,❤❤❤
@RAHUL00Jatt,1:21 bat hi alag he jatt ki 🥷☠️
@RISHSBHGAMER,This song vibe is so good 😅😊
@NawazKhan-tb8fm,9/11/2014
@Neerajsharma-5321,Actress name ????
@finsolvetrader,"I used to listen to this song in 2014-15 , after so many years I got this song in 2024"
@VikasChauhan-l1b,Actress name
@shivasingh12000,Kon kon insta se reels se pagal hokar aya h ❤😂
@sagargupta7276,November 2024 me sunne bale like ❤❤
@annuprajapati-ll9gr,"He , guys literary i am listen 2024 november but vibe it obviously good an impressive"
@gauravsinghrajput8484,Kon kon insta se abhi abhi aya hai 😅
@thugh817,Bhai dance mst h gana to ky hi kehna aaj b 😅bale bale ❤
@NirajBabuintertenment47,3:38
@NirajBabuintertenment47,Coming soon 2025😅😅
@aayan_raju,Who is watching in 2024 end ?
@dharam13,❤
@AnjanaPatel-hj9gv,કોના વખાણ કરો છો
@AnkitThakur-r6c,Masterpiece ❤
@SomeshKumarSomeshKumar-b1t,So cute 💕💕
@ce228prashantjadhav3,Super song ❤
@sonampandit28,Hay meena where are you 😂
@sunnybairagi5818,नवंबर 2024😂❤
@affu2312,Samajh me kuch nhi aa raha hai 😂🤣but sunne me acha lag raha hai😄🤣
@WBPVCPRINT,Ohdi Ankh Bhi Kamini Mera Dil Bhi Kamina 🤟
@Thesamm_00,In 2026👍
@UNCaptainFun,Fav song😊
@AnjanaPatel-hj9gv,નિલમ 😊
@Vickey_kavi,Sirf ek line sun ne ke liye poora song Sunta hu
@viratpatel9529,End of 2024 fir bhi sunne aa jata hu ye song 😅❤
@DeborahWaldron-e4o,Borer Plaza
@lucifer65000,Actress name pls
@DILIPLIVE12,❤❤❤❤❤
@manavdamor914,What is the name of this actress  ???
@SudhanshuMishra-z9y,Very nice song dance voice music hits and superior namaste ❤🎉namaste 🙏🏿
@alsoshreya05,It's October 2024 listening to this masterpiece ❤
@RahulThakur-qm2nv,Old is gold 🥇
@R2M111,2025 anyone ❤
@R2M111,2025 anyone ❤
@guru_ghntal,Anyone 2024
@tusharprajapati4219,Anyone 2024 altra legend
@priyanshushukla8468,2024 September
@Dheerajkumar-xy7hf,Anyone in September 2024❤
@TakhatBaria-w4r,How is listing 2024😂😂
@amanpandey3228,Bachpan me suna tha per Aaj tarif karne aaya hoo 🙌
@Shubham-v1u,Masterpiece of all time 💀📈
@ashutosh8474,Wish: One day I'd love to perform it in my college.
@kiranlivi2628,इस song के बारे में मेरे भाई ने बताया उसका मैं जिंदगी भर एहसानमंद रहूंगी
@dancer_raja_ji,Teg Pooja.  😂😂😂
@AshitKaul,"Sardar ji ,❤ iska swag hrkuuch..shiv"
@doulatsaini3454,Always my favourite ❤ 09/09/2024
@NobEa-w8v,❤❤❤❤
@Mr_Patel_2126,❤
@shashvatsingh1694,Old is Gold 🥇🔥
@ArunKumar-dw6sn,सब फैंसन वाले देसी लड़के के साइड में उछाल कूद कर रहे हैं
@gax6378,Nice song billy butcher bhai
@SharavanChauhan-o6h,"Lovely Song...,
Lovely Beats...,
Lovely Visuals....,
Voice of Singer Unbelievable....,
Love this Song................................,,❤"
