Username,Comment
@DhrubaDas-k4j,Dak ka to kuch samaj nahi aa raha taa par maja aa raha thaa😂
@AvnindraKumar-xb8ec,Chris Gayle Jailor film ke villen lg rahe hain 😂😂😂😂😂
@JasvirSingh-fg7zm,❤❤❤❤
@suvodipghosh3612,"Breat lee is a handsome person ❤
But Sachin vs Brett Lee 😊"
@RizzStar_118,32:40 32:47 36:15 😂😂😂😂😂😂😂😂
@salimrabbani6404,❤
@dhananjaygupta3283,Invite Virat Kohli  once again
@kishorbhai2458,Kapi sir kya hame Lee ko boling koch banana chahiye aap kya chote ho
@जियांशी,"अर्चना जी वो आपको क्रिश गेल बुला तो रहा है जमैका लेकीन 😂😂 
बुलाता हे पर जाने का नही 😅😅 
चले मत जाना वरना उस कुर्सी पर बैठ नही पाओगे"
@king_maker8808,"Wtf movement chriss gayle jerrsy num 333
Episode no.333"
@Mantav.Vaghasiya,aadha to un dono ko samaj nahi aa raha hai
@RupaSapkota158,"Ep 333 
     Chris gayle for a reason 😆👏"
@theharshbajpai,Bhi AB d ko be bula laeta
@user-gt5qm6qq5b,Mera pahla crush Brett li hi tha aaj bhi mujhe wo pasand hai❤😍
@MHarisKamran-y1t,Khailty time bohat dangrus lgty thy pr very funny person
@Undefinenedspace006,"Shining stars in life's vast sea 🌊
Brett and Chris, gems to you and me 
A treasure to behold, a heart so true 
A bond of friendship, forever shining through 
Their hearts full of love, their souls so bright 
A shining star on a cloudy night 
A precious gem, a treasure to see 
A heart of gold, a spirit free 
Brett and Chris, a perfect pair 
A friendship that's rare, beyond compare"
@cassidyemol09,Only for Universe boss here❤
@mohammadyousaf5440,Shahid Afridi ko bulao yaar
@MdRehanOsmani,"Babar or Shaheen Are Real World class
Not Like 🤣 Chokli and Polio Bumrah 🤣"
@VPbro13,44:41 Brett lee told Mar re Mahi (Thala for a reason)
@manassenger5353,Most underrated show ever in tkss😂😂😂😂😂
@GAMINGRAJ733,Kon kon crisy Gayle ko dekh kar aaya😅
@Yellomellowil,Gayle is my favorite ❤❤❤
@pravinsonawane7509,They understand what massage is going to be inside parlour😂😂😂🙆🤪
@yashodayadav9054,RCB ❤❤❤❤
@Saurabh24776,Lee is my idol❤
@anitasaha6313,Arko is a doctor also
@jayantabongjang1865,Dhuuuuurrrrr
@sanjaypardhi5246,Shayad Mahi bhai aayegè nahi but aayege to bohot Maja aayega
@sanjaypardhi5246,Ek baar Mahi bhai ko bulavo
@Curiouscraving,Itna flirt 😂😂😂
@akkidsstory,Dolly chaiwala😂😂 30:30
@nitinjaswal3022,Gayle teeth pantajali dant kanti😂😂😂😂😂
@nitinjaswal3022,Aus vs west indies
@Bhakti-ky8ri,"I loved cris, and miss him he was great cricketer 😢"
@PuspaKumari-jp9wj,Best episode of Kapil Sharma show.
@DhurupPatel-s8w,Sir ab aap ab de Villiers ko show me bulaiye
@ariagrace1857,"Brett Lee is one of my favourite Australian player loved his acting in the film ""Unindian"" too"
@skiyer0120,One of the funniest episodes I have watched.
@anannaanu5225,"this episode was too good except the swapna & baccha part, one is portraying 3rd gender in a very irritating way another one is just justifying body shamming... except their presence the show is much more enjoyable"
@Stromewithskin,Lee and Chris are so sweet ❤
@Jitya_.,Soni TV ye kapil ko aukat mai rehana sikhao
@MINEWISE,😢bro such cringe bruh
@sonumandal9450,Arko must be feeling so left out
@ravimeena5167,Chris Gayle such a sweet guy ❤
@parthhirani3290,36:50   Rajat sood ...😮
@AK_OFFICE,49:36 The way Chris said WOW! 😃😁😆😆 you can't stop laughings.
@tumpabaidya4892,Brett lee world best bowler👌
@Chandanwzg,"When batting chris gayle, all baller  fail"
@ripzzzy,Dono me se kisiko samjh nhi arha 😂 hamare uper has rehe hai wo log soch rhe honge kya chutiya log hai baar baar pe has rhe😂😂
@amreshchandra4098,which tooth paste?
@Robin-bg5dd,"Dekh lo kapil ki english
Sirf naam ki weak hai"
@Queen-0-1-2-3,I love Bret Lee❤
@ഊക്കൻടിൻ്റു,Brett Lee is my Tin Tin! 😅
@jafferjaffer4890,Universe boss 🌟 and the wind storm bowler Mr.lee ✨
@shahabuddin126,Lee is super genuine person ❤ he is so consistent
@arpan_ak_777,Arko kya yaha pe kabab me haddi banne aaya hai😅😂?
@whizbang1111,"Yes, we are a Cricket Crazy country"
@Devmishra177,Kapil was on fire in this stand up
@Rounak20043,"That's why it was written ep 333 Chris Gayle,s Jersey number"
@Punam-z4f,Very nice❤
@whizbang1111,i just want to feel excited a little bit daily......some amount of happiness n peace n feeling positivity......
@ARYAMANSINGHVF,The ep no is 333 chris gayle Jersey
@whizbang1111,i Just want to feel happy....thats it....ive had enough shitt in my life but now i just want to feel happy a few hours everyday
@whizbang1111,oye hoye
@Challenging_boy_pratap,So nice show 🎉🎉🎉🎉🎉🎉
@tarakarmakar2478,"Soo happy 😊🥰😍😍😍💯💯💕🙏 to see Brett Lee and Chris Brown' in this show, good job brother Kapil🎉🎉🎉❤❤"
@Aaravkumar07,❤❤❤❤😂😂😂😂🎉🎉🎉🎉😢😢😢😢😮😮😮😮😅😅😅😅😊😊😊😊
@Deependramalla6334,😂❤❤
@whizbang1111,good times
@kavitachanne1892,Chris Gayle is so sweet 😍
@shabnambano7403,Araam se araam se 😂
@Meena-x5s,26:29 🤌
@Sachin-hj7xw,Ab samj aaya Rohit sharma kyu west Indies walo ko bakchod kyu kehta hai🤣🤣😅
@mairakohli4952,20:41
@Anubhav3317,"#44:50

Ley lota🤣🤣🤣"
@onlywinner-gb5fw,Baap re kitta hot hai oh aaah kya hi batau
@Bharat-kumawat,Crys gayle and mithun Chakraborty same😅😅
@aryanatwork,2:47 who is she?
@RonaldSenior3298,Chits Gayel Apsaraji ko pelne ki firak pe hai
@lifetipsandtrics420,Archana ji ko koi samjao 10 inch ka hota hai inki biradri valo ka😂😂😂
@neetu-beyourself,Kapils English has improved a lot
@Snakeff_12,"👦
👕
👖
🧦"
@Snakeff_12,Bech me arko aake mood karab kardi
@rajeshkushwaha6745,"Taklu bhai Bina tayri ke video banata h 
Phle Ravi bisnoi drop karbata h Or stats dhk kr lene ki bolta h"
@hitendebbarma5264,Chakke chuda Dena 😂
@HimanshuKumar-qm5dg,Is roll m sirf chandu chai vala acha lgta h👌 kmaal ek dm
@skavi7818,I want to see russel and sunil narine in kapil sharma show
@dharmendratyagi5906,Tyagi
@runitkumar7037,Universe boss ❤
@mr.miscellaneous8442,Breet lee the gentleman
@SAHILSANGRAL-e2v,Netflix PR Jake bolo Kohli ko bhula
@IndianCricketTeamFan01,😂😂😂
@premananda8559,"Brett Sir 
Great lee🥰"
@ansarsaghar6234,"Mery Dimagh mein bht baten gain par English banany mein thorda time lag rha h 😂😂😂😂😂Kapil U are Big Big Comedian, Love from Pakistan"
@harshanayee189,Bhacchha bhaiiiii..... 🤣🤣😜🤧💙
@harshitsaxena5435,"34:06 when she explains chavva😂😂
35:54 that laugh of Kapil and chris and he flirting
37:53 omg
Baccha yadav came it was just a total laughter unlimited 38:17
46:36 wait for that rost by brett sir
48:24 when he says himself the universe boss
49:07 gyanaecologist 😂😂
53:59 Brett Lee sir's reaction
1:00:11 when Kapil interacts with audience"
@rameshwarbareliya9749,Brett
@gujraticartoon90,Next ep me ab de Villiers ko bulao😊 please
@Zaib7866,"Brett Lee 47
Chris Gayle 44
Gayle Uncle Lag Raha Hai Brett Lee Ka 😂😂"
@NazimSultan-po3dy,Yaar giil aur ishan ko bulao apne show pe
@dw-wy1gf,#brettlee what a man❤
@ranglong1997,Did anyone saw rajat sood in audience 😂😂😂
@AmanKumar-mu8ht,What a show😂😂😂
@horribleedits9767,"Brett in real life:🥰😊🤓
Brett onfield :😈🥵🤬🥶"
@MahimaBahe-v9h,Kis kis ko ne Rajat sood ko notice Kiya like please ❤😊
@Abhirajcomady2525,RJD lover ❤
@yogendrakumar-v7u,किसी ने रजत सूद को नोटिस किया🤔🤔
@AbhishekAshish-nh8uw,🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉
@ankitabhardwaj5613,"Who is Fatima
Gayle: You😂😂"
@Im_Deep_2000,Ricky ponting and brat lee both are my favourites
@VipulbhaiChaudhary-xp1vy,Kamala pasnd anokh savvad😅
@Navyapatel-u5n,"Brett Lee is so genuine, kind and respectful person"
@englishphobia5853,"Batsman from WEST INDIES plus bowler from AUSTRALIA = bawal from INDIA 
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤"
@SizanPuri,Bret lee😢
@SizanPuri,Chris gale 😮😮
@SizanPuri,Bat to sahi he lekin kyà kare life hii jhand on 😮the 😮
@SizanPuri,Vai ye kya màjak he yll 😅
@Abgujjar_,Brett lee adopted indian culture ❤
@Abgujjar_,Brett lee ki entry hath jod k gzb ❤
@syedhamdan8452,bro we boys need chris gayles confidence
@ajb789-io,36:49 does anyone saw rajat sood the comedian of laughter India? 36:49
@ओमकारओंकारनाथनिषादओमकार,Thank you
@MyIncredibleGilgitBaltistan,Brett lee my childhood Hero
@Jackgaming044,Best comedian Kiku Sharda sir❤❤❤
@shergill-d6k,Brett lee very handsome yaar❤
@THE_SPACE_EXPLORERS,Chris Gayle flirting with Judge Is real..
@Truemarvelfan,They invite chris in Ep 333this jersey number
@Truemarvelfan,They invite chris in Ep 333this jersey number
@VinayChouhan-dp8bt,Lee handsome
@riya-i3k,bro is akash madhwal
@RohanTamang-yq4te,Yaar yeh cricketer itne funny kyu hotel hai yaar 😂
@ammassing.,Delevery of 3 kids was a good reply
@MuhammadAyan_1177,"Why Aussies are so good in Fielding, Bowling and Batting. Because they are kangaroo"
@KulveerSingh_,❤
@shantipun7584,Jabarjasti comedy
@vantex_69,When 161.1 meets 161.3🔥🔥🔥💀💀
@DeepaDeepa-yi1xe,Nice
@RajeshPatel82005,11:12
@priolyrics5415,Chris Gayle ❤❤
@bittumandal9425,I didn't skip a single second of this episode. Love both of them and I'm a huge fan of cricket
@RockyPatel-b9k,Sixer King only Chris Gayle ❤
@GUHK52,Iski njar khi  or hi h
@GouravYadav-dh3lk,36:50 Rajat sood
@saikatdebnath2784,Brett Lee is ageing in reverse😂❤
@Zakri_Boy,Great show thank you Set India for inviting such an interesting Guests❤
@SHADOWHUNTER-17,That episode number is 333 and Gayle jursey number is 333
@neerajgautam12jan,Binga always best👍
@rajaryan9744,JUSTICE FOR EMIWAY BANTAI
@TRT_editx,MS DHONI ko invite kariye
@jyothireddya.n5501,When was Brett Lee playing in 2019-20 WC 😂😂😂 50:00
@kenilkabariya9925,161.3
@andrewmohan4984,"After the AIIFA Awards, Kapil Sharma also got the privilege of inviting these Cric Legends, especially Bret Lee to his platform. AWESOME...! Very nice...!"
@sportsglory14_,333 ep
@sauravchetiwal36,44:10 😂😂
@marxist_socialist,48:55😅 you know what I mean 😂😂
@MrReactionist_7,45:52
@mr.tornado7775,18:24 😂
@harishpiano,Haha muje English banane main time lag raha hai was very funny 🤣🤣🤣🤣🤣
@jyoti-nk7fl,Kbhi pat Cummins ko bhi bulaao
@Sunilfixofficial26,I don't like that
@DineshDamor-j8j,Well come to India Lee and gayle
@kpfilms1993,Chris gayle should do happydent ad 😂
@ro-ko777,Raju handsome 😂
@TANUJAKUMARI-b8g,"Both are the big legends of cricket. Mr Lee and Universe Boss.

Universe Boss - High Strike Rate
High Sixes
Most Sixes

Lee- fast delivery"
@ibne-batuta333,Brett Lee is so handsome 😍
@mukeshchaudhari528,very good kapil
@kulkantbhagat5952,Both are nice guys with funny
@RuchiRaikwar-pq8cj,Chris sir is so cool❤
@October-p6t,Yuvi Gayle fàn ❤❤❤❤❤
@Quitplaying360,MS ko lao iss show mein
@ROSHANIKUMARI-hp9fd,So mai rajat sood bhi hai
@ROSHANIKUMARI-hp9fd,So mai rajat sood bhi hai
@theprince683,https://youtube.com/@theprince683?si=nGrzIugR-f1TkfTO
@skypatr0l,"Most destructive batsman with Most Destruction Bowler
Too much destruction in cricket in one frame"
@abhineetsingh2072,😘😘😘
@Krishnaradhe369,Yeh christ gail ke teeth toh bagad billa typ lg rha hai😂
@ananddwivedi2468,There is also rajat sood but no one noticed him😢
@Bhosad2pappu,Who miss dr gulati🥺
@Samarmudgil,Never see tkss while drinking hot tea
@trollmedia1886,11:15
@akshaychauhan933,Episode - 333 gayle jersey no - 333 what a coincidence
@i7Solutions,Chris Gayle made 333 runs and went to Kapil Sharma Show Ep no. 333😂😂
@INVEST_MATTER,WE HATED LEE.. WE ARE LOVING NOW💝
@pulaknatta2743,Maine puchta hu Dr gulati kidhar hai😢
@Bedhadak01,Isshan kishan aur shubaman gill ko bulao as a guest  please
@Dark_Editz192,Chaka chuda dana😂
@DhirajdantaniDhirajdanta-im4xz,Jabardast  komedi cirish gel
@patillaxman6247,White people are so disciplined
@BasimAli009,The episode is 333 and jersey no of gayle is 333
@MohadAkram-uv8ex,Kapil Good bro ❤ Bhagwan aapka salamat rakhe ❤❤❤
@PhysicalEducationStudent750,14:27 wow Ladki ☺️😍😍
@user-mr.rohansingh634,I love kapil sharma show
@Sammanral,"wow i really love this show bread lee looking so handsome & crish guyle very funny & great player, both are legend forever, i am biggest fan of bread lee & crish guyle both are my favourite player forever love from Uttarakhand ❤️😍🏏🥰👏"
@Sammanral,Wow that's great literally i am very excited watching this show but i can't stop my laughing😅😂👍😍👏
@Omjee416,Kapil is best 🎉🎉🎉🎉❤❤❤❤
@SUN-fv6ex,"Brett,,,chris both are very talented &Nice person i am fully enjoy it This show😃😃😃"
@n.n.8402,Started 11.14
@ausgamerz5910,48:55 mein chris kiya bola chudda dena😂😂😂😂
@IRT.News16,Yaar chris Gayle 🎉
@Curiousmindset666,33.38 looking sopna hand 😂😂😂😂 enjoy 😂😂😂 Script in hand
@pouvlog5,Faatibaap
@vssaini9916,Both player are legend❤❤❤
@shevoic2,12:35
@AbdulShaikh-wi2jt,Rajat sood is at Kapil Sharma show at 36
@debbanik5152,Kapil speaking fluent English! Kya jamana aa geya vai...! 😹
@kargo8825,17:26
@santachowdhury4579,Okay okay Ok 🤦‍♂️🤦
@santachowdhury4579,Okay🤦‍♂️
@santachowdhury4579,Bro😒
@VyomMishra-t7b,36.51 sec rajat sood
@PremMillind2356,Great episode
@DebGupta-ql9yo,Chirs gayle and brett lee world top 2 player
@nidhiparmar1286,Lee is looking handsome ❤❤
@Love_yourselfarmy,브렛 선생님이 26살 미만이라고는 누구도 말할 수 없어요..브렛 오빠 정말 팬이에요..사랑해요💜🫰
@lakshstudio2374,Archna to gai 😂😂😂
@madankushwah7193,Wow Lee i just start to follow u  on insta u r really down to earth  and chris  u always give smile  both r wonderful gentle man 🎉❤❤
@shivamaquaservices3118,45:40 कपिल शर्मा पक्का अपनी भाभियों की लेता था 😂
@MdShamim-u9x8c,"Kapil bhaiya dhyan se 
Warna ye krish archana ko uthakar lekar chala jaega"
@MdShamim-u9x8c,Gayle is so funny🤣🤣😝😝😝😝😝🤣
@divyayadav2412,Kapil sir apse request h ek bar AB devilliers ko v bulaye please 🙏
@hariomtiwari239,1:00:56  her expression
@sridharkumarbehera726,I love lee
@sridharkumarbehera726,Cris gygle and brete lee nice person
@sridharkumarbehera726,All type of. Country love india
@chandanbehera2888,Yr wohi B grade actress he naa...
@PriyankaKuryan,😫😫🥸
@LakiSingh-km9rv,Cris archnaji pr line mar raha h... bach k rahna he is black 😅
@Nothing-t7p,Chris ❤sir love you
@NaveenKumar-gr6uo,Brett lee  “ vanakam machan “❤❤❤
@Diku5675,❤😂🎉😢😮😅😊
@GEOPOLITICS_TV_Asia,"भाई इन जमैका वालो से माल लड़कियों को बचा कर रखना 😂
ये साले बहुत kamine होते हैं 😂"
@karnabirbikramshahdevthakuriba,🌟🌟🌟🌟🌟
@legacylife6654,Chris Gayle said chakke chuda dena. My dirty  mind says something else 😆
@princethegamer1919,Sir Cristiano Ronaldo ko bhi bula lo
@dishanaditya,Everything was going on fine until Krushna hijda arrived.
@sanjanakapoor2358,Bretlee❤
@MadanmohanBudakoti-oj6pk,"Brett Lee. And Chris 
are great."
@NuitNoire7,Chris Gayle s teeths are brighter than my future 😅😅😂😂😂😂😂
@SUDESHSHARMA-l3n,🇮🇳🇮🇳🥇🥇🏆🏆🇮🇳🇮🇳
@pradeepnayak3392,"Hi chris Gayle, Lee fantastic players"
@makingenglishfun6830,36:49 Is He Rajat Sood.
@aniketaggarwal1224,India will win vs Aus in the Finals of ODI WORLD CUP 🇮🇳
@SV5577_SV,Chris Jb Naya tha tb Bahut Serious lgta hai but ab dekho 😂
@my_stupid_answer,Give him adhar card of india 🇮🇳
@my_stupid_answer,Arco is ignoring
@sanuchaudhary13,Most chilled cricketer - Chris Gayle 😂❤
@sanuchaudhary13,Chris Gayle humesa pelne ke mood me rehta hai....😂😂
